Codarticulo,Descripcion,Descadic,Familia,Codbarra,marca
0310001370,750017MK CAMPERA,CAMPERA,INDUMENTARIA,750017MK,MKFITNESS
0310001380,750018MK CAMPERA,CAMPERA,INDUMENTARIA,750018MK,MKFITNESS
0310002840,750020MK CAMPERA,CAMPERA,INDUMENTARIA,750020MK,MKFITNESS
0310002850,750021MK CAMPERA,CAMPERA,INDUMENTARIA,750021MK,MKFITNESS
0310002860,750022MK CAMPERA,CAMPERA,INDUMENTARIA,750022MK,MKFITNESS
0310002870,750020MK TL GR.MGE.OSC.,CAMPERA,INDUMENTARIA,75002003265,MKFITNESS
0310002880,750020MK TL NEGRO,CAMPERA,INDUMENTARIA,7500200303,MKFITNESS
0310002890,750020MK TM GR.MGE.OSC.,CAMPERA,INDUMENTARIA,75002002265,MKFITNESS
0310002900,750020MK TM NEGRO,CAMPERA,INDUMENTARIA,7500200203,MKFITNESS
0310002910,750020MK TS GR.MGE.OSC.,CAMPERA,INDUMENTARIA,75002001265,MKFITNESS
0310002920,750020MK TS NEGRO,CAMPERA,INDUMENTARIA,7500200103,MKFITNESS
0310002930,750020MK TXL GR.MGE.OSC.,CAMPERA,INDUMENTARIA,75002004265,MKFITNESS
0310002940,750020MK TXL NEGRO,CAMPERA,INDUMENTARIA,7500200403,MKFITNESS
0310002950,750021MK TL NEGRO,CAMPERA,INDUMENTARIA,7500210303,MKFITNESS
0310002960,750021MK TM NEGRO,CAMPERA,INDUMENTARIA,7500210203,MKFITNESS
0310002970,750021MK TS NEGRO,CAMPERA,INDUMENTARIA,7500210103,MKFITNESS
0310002980,750021MK TXL NEGRO,CAMPERA,INDUMENTARIA,7500210403,MKFITNESS
0313000010,740014MK TS BLANCO,CALZA,INDUMENTARIA,7400140101,MKFITNESS
0313000020,740014MK TS NEGRO,CALZA,INDUMENTARIA,7400140103,MKFITNESS
0313000030,740014MK TM BLANCO,CALZA,INDUMENTARIA,7400140201,MKFITNESS
0313000040,740014MK TM NEGRO,CALZA,INDUMENTARIA,7400140203,MKFITNESS
0313000050,740014MK TL BLANCO,CALZA,INDUMENTARIA,7400140301,MKFITNESS
0313000060,740014MK TL NEGRO,CALZA,INDUMENTARIA,7400140303,MKFITNESS
0313000070,740014MK TXL BLANCO,CALZA,INDUMENTARIA,7400140401,MKFITNESS
0313000080,740014MK TXL NEGRO,CALZA,INDUMENTARIA,7400140403,MKFITNESS
0313000090,740021MK TS NEGRO,JOGGIN,INDUMENTARIA,7400210103,MKFITNESS
0313000100,740021MK TS GR.PERLA,JOGGIN,INDUMENTARIA,7400210111,MKFITNESS
0313000110,740021MK TS CELESTE,JOGGIN,INDUMENTARIA,7400210134,MKFITNESS
0313000120,740021MK TM NEGRO,JOGGIN,INDUMENTARIA,7400210203,MKFITNESS
0313000130,740021MK TM GR.PERLA,JOGGIN,INDUMENTARIA,7400210211,MKFITNESS
0313000140,740021MK TM CELESTE,JOGGIN,INDUMENTARIA,7400210234,MKFITNESS
0313000150,740021MK TL NEGRO,JOGGIN,INDUMENTARIA,7400210303,MKFITNESS
0313000160,740021MK TL GR.PERLA,JOGGIN,INDUMENTARIA,7400210311,MKFITNESS
0313000170,740021MK T L CELESTE JOGGINETE,JOGGIN,INDUMENTARIA,7400210334,MKFITNESS
0313000180,740021MK TXL NEGRO,JOGGIN,INDUMENTARIA,7400210403,MKFITNESS
0313000190,740021MK TXL GR.PERLA,JOGGIN,INDUMENTARIA,7400210411,MKFITNESS
0313000200,740021MK TXL CELESTE,JOGGIN,INDUMENTARIA,7400210434,MKFITNESS
0313000210,740014MK TS GRIS CLARO,JOGGIN,INDUMENTARIA,74001401266,MKFITNESS
0313000220,740014MK TM GRIS CLARO,JOGGIN,INDUMENTARIA,74001402266,MKFITNESS
0313000230,740014MK TL GRIS CLARO,JOGGIN,INDUMENTARIA,74001403266,MKFITNESS
0313000240,740014MK TXL GRIS CLARO,JOGGIN,INDUMENTARIA,74001404266,MKFITNESS
0313000250,740021MK JOGGINETA,JOGGIN,INDUMENTARIA,740021MK,MKFITNESS
0313000260,740030MK JOGGINETA,JOGGIN,INDUMENTARIA,740030MK,MKFITNESS
0313000470,740041MK JOGGINETA,JOGGINETA,INDUMENTARIA,740041MK,MKFITNESS
0313000480,740044MK JOGGINETA,JOGGINETA,INDUMENTARIA,740044MK,MKFITNESS
0313000490,740041MK TL GR.MGE.CLA.,JOGGINETA,INDUMENTARIA,74004103266,MKFITNESS
0313000500,740041MK TL GR.MGE.OSC.,JOGGINETA,INDUMENTARIA,74004103265,MKFITNESS
0313000510,740041MK TL NEGRO,JOGGINETA,INDUMENTARIA,7400410303,MKFITNESS
0313000520,740041MK TM GR.MGE.CLA.,JOGGINETA,INDUMENTARIA,74004102266,MKFITNESS
0313000530,740041MK TM GR.MGE.OSC.,JOGGINETA,INDUMENTARIA,74004102265,MKFITNESS
0313000540,740041MK TM NEGRO,JOGGINETA,INDUMENTARIA,7400410203,MKFITNESS
0313000550,740041MK TS GR.MGE.CLA.,JOGGINETA,INDUMENTARIA,74004101266,MKFITNESS
0313000560,740041MK TS GR.MGE.OSC.,JOGGINETA,INDUMENTARIA,74004101265,MKFITNESS
0313000570,740041MK TS NEGRO,JOGGINETA,INDUMENTARIA,7400410103,MKFITNESS
0313000580,740041MK TXL GR.MGE.CLA.,JOGGINETA,INDUMENTARIA,74004104266,MKFITNESS
0313000590,740041MK TXL GR.MGE.OSC.,JOGGINETA,INDUMENTARIA,74004104265,MKFITNESS
0313000600,740041MK TXL NEGRO,JOGGINETA,INDUMENTARIA,7400410403,MKFITNESS
0313000610,740044MK TL GR.MG.OS BOR,JOGGINETA,INDUMENTARIA,74004403396,MKFITNESS
0313000620,740044MK TL GR.MG.OS CEL,JOGGINETA,INDUMENTARIA,74004403390,MKFITNESS
0313000630,740044MK TL GR.MG.OS DAM,JOGGINETA,INDUMENTARIA,74004403398,MKFITNESS
0313000640,740044MK TM GR.MG.OS BOR,JOGGINETA,INDUMENTARIA,74004402396,MKFITNESS
0313000650,740044MK TM GR.MG.OS CEL,JOGGINETA,INDUMENTARIA,74004402390,MKFITNESS
0313000660,740044MK TM GR.MG.OS DAM,JOGGINETA,INDUMENTARIA,74004402398,MKFITNESS
0313000670,740044MK TS GR.MG.OS BOR,JOGGINETA,INDUMENTARIA,74004401396,MKFITNESS
0313000680,740044MK TS GR.MG.OS CEL,JOGGINETA,INDUMENTARIA,74004401390,MKFITNESS
0313000690,740044MK TS GR.MG.OS DAM,JOGGINETA,INDUMENTARIA,74004401398,MKFITNESS
0313000700,740045MK TL GR.MG.OS NGO,JOGGINETA,INDUMENTARIA,74004503393,MKFITNESS
0313000710,740045MK TL NGO DAMASCO,JOGGINETA,INDUMENTARIA,74004503387,MKFITNESS
0313000720,740045MK TL NGO GR.MG.OS,JOGGINETA,INDUMENTARIA,74004503391,MKFITNESS
0313000730,740045MK TM GR.MG.OS NGO,JOGGINETA,INDUMENTARIA,74004502393,MKFITNESS
0313000740,740045MK TM NGO DAMASCO,JOGGINETA,INDUMENTARIA,74004502387,MKFITNESS
0313000750,740045MK TM NGO GR.MG.OS,JOGGINETA,INDUMENTARIA,74004502391,MKFITNESS
0313000760,740045MK TS GR.MG.OS NGO,JOGGINETA,INDUMENTARIA,74004501393,MKFITNESS
0313000770,740045MK TS NGO DAMASCO,JOGGINETA,INDUMENTARIA,74004501387,MKFITNESS
0313000780,740045MK TS NGO GR.MG.OS,JOGGINETA,INDUMENTARIA,74004501391,MKFITNESS
0313000790,740045MK TXL GR.MG.OS NGO,JOGGINETA,INDUMENTARIA,74004504393,MKFITNESS
0313000800,740045MK TXL NGO DAMASCO,JOGGINETA,INDUMENTARIA,74004504387,MKFITNESS
