virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc
,SIGRY-Art:1250S,0101127690,0101127470,SIGRY-Art 1250S-0101127690,T100,ESMERALDA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - ESMERALDA
,SIGRY-Art:1250S,0101127700,0101127470,SIGRY-Art 1250S-0101127700,T100,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - FRUTILLA
,SIGRY-Art:1250S,0101132630,0101127470,SIGRY-Art 1250S-0101132630,T100,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - AZUL
,SIGRY-Art:1250S,0101133660,0101127470,SIGRY-Art 1250S-0101133660,T100,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - BLANCO
,SIGRY-Art:1250S,0101133700,0101127470,SIGRY-Art 1250S-0101133700,T100,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - FRUTILLA
,SIGRY-Art:1250S,0101133740,0101127470,SIGRY-Art 1250S-0101133740,T100,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - NEGRO
,SIGRY-Art:1260S,0101122440,,SIGRY-Art 1260S-0101122440,SIGRY,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/sigry,CONJUNTO SIGRY-Art:1260S<br />SIGRY - VARIOS
3644,SIGRY-Art:1270S,0101122750,,SIGRY-Art 1270S-0101122750,T90,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Sigry,CONJUNTO SIGRY-Art:1270S<br />T90 - BLANCO
,SIGRY-Art:1270S,0101122800,0101122750,SIGRY-Art 1270S-0101122800,T90,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T90 - FRUTILLA
,SIGRY-Art:1270S,0101122850,0101122750,SIGRY-Art 1270S-0101122850,T90,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T90 - NEGRO
,SIGRY-Art:1270S,0101122760,0101122750,SIGRY-Art 1270S-0101122760,T95,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T95 - BLANCO
,SIGRY-Art:1270S,0101122810,0101122750,SIGRY-Art 1270S-0101122810,T95,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T95 - FRUTILLA
,SIGRY-Art:1270S,0101122860,0101122750,SIGRY-Art 1270S-0101122860,T95,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T95 - NEGRO
,SIGRY-Art:1270S,0101122770,0101122750,SIGRY-Art 1270S-0101122770,T100,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T100 - BLANCO
,SIGRY-Art:1270S,0101122820,0101122750,SIGRY-Art 1270S-0101122820,T100,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T100 - FRUTILLA
,SIGRY-Art:1270S,0101122870,0101122750,SIGRY-Art 1270S-0101122870,T100,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T100 - NEGRO
,SIGRY-Art:1270S,0101122780,0101122750,SIGRY-Art 1270S-0101122780,T105,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T105 - BLANCO
,SIGRY-Art:1270S,0101122830,0101122750,SIGRY-Art 1270S-0101122830,T105,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T105 - FRUTILLA
,SIGRY-Art:1270S,0101122880,0101122750,SIGRY-Art 1270S-0101122880,T105,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T105 - NEGRO
,SIGRY-Art:1270S,0101122790,0101122750,SIGRY-Art 1270S-0101122790,T110,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T110 - BLANCO
,SIGRY-Art:1270S,0101122840,0101122750,SIGRY-Art 1270S-0101122840,T110,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T110 - FRUTILLA
,SIGRY-Art:1270S,0101122890,0101122750,SIGRY-Art 1270S-0101122890,T110,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1270S<br />T110 - NEGRO
,SIGRY-Art:1280S,0101127710,,SIGRY-Art 1280S-0101127710,CONJ,SIGRY,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Sigry,CONJUNTO SIGRY-Art:1280S<br />CONJ - SIGRY
2448,SIGRY-Art:1281S,0101127720,,SIGRY-Art 1281S-0101127720,T90,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Sigry,CONJUNTO SIGRY-Art:1281S<br />T90 - BLANCO
,SIGRY-Art:1281S,0101127730,0101127720,SIGRY-Art 1281S-0101127730,T90,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1281S<br />T90 - NEGRO
,SIGRY-Art:1281S,0101127740,0101127720,SIGRY-Art 1281S-0101127740,T90,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1281S<br />T90 - AZUL
,SIGRY-Art:1281S,0101127750,0101127720,SIGRY-Art 1281S-0101127750,T90,FLAMENCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1281S<br />T90 - FLAMENCO
,SIGRY-Art:1281S,0101132640,0101127720,SIGRY-Art 1281S-0101132640,T90,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1281S<br />T90 - AZUL
,SIGRY-Art:1281S,0101133750,0101127720,SIGRY-Art 1281S-0101133750,T90,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1281S<br />T90 - BLANCO
,SIGRY-Art:1281S,0101133790,0101127720,SIGRY-Art 1281S-0101133790,T90,FLAMENCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1281S<br />T90 - FLAMENCO
,SIGRY-Art:1281S,0101133830,0101127720,SIGRY-Art 1281S-0101133830,T90,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1281S<br />T90 - NEGRO
