Codigo,Descripcion,Descadicional,Familia,Codbarra,marca
0701003270,6161MK  MEDIAS,SOQUETES,MEDIAS,6161MK,mkmedias
0701003280,6162MK  MEDIAS,SOQUETES,MEDIAS,6162MK,mkmedias
0701003290,6165MK  MEDIAS,SOQUETES,MEDIAS,6165MK,mkmedias
0701003300,6166MK  MEDIAS,SOQUETES,MEDIAS,6166MK,mkmedias
0701003310,6168MK  MEDIAS MK,SOQUETES,MEDIAS,6168MK,mkmedias
0701003320,6169MK  MEDIAS MK,SOQUETES,MEDIAS,6169MK,mkmedias
0701003330,6171MK  MEDIAS MK,SOQUETES,MEDIAS,6171MK,mkmedias
0701003340,6180MK  MEDIAS MK,SOQUETES,MEDIAS,6180MK,mkmedias
0701003350,6187MK MEDIAS MK,SOQUETES,MEDIAS,6187MK,mkmedias
0701003360,6191MK MEDIAS MK,SOQUETES,MEDIAS,6191MK,mkmedias
0701003370,6192MK MEDIAS MK,SOQUETES,MEDIAS,6192MK,mkmedias
0701003380,6193MK MEDIAS MK,SOQUETES,MEDIAS,6193MK,mkmedias
0701003390,6196MK MEDIAS MK,SOQUETES,MEDIAS,6196MK,mkmedias
0701003400,6197MK  MEDIAS,SOQUETES,MEDIAS,6197MK,mkmedias
0701003410,6198MK  MEDIAS,SOQUETES,MEDIAS,6198MK,mkmedias
0701003420,6199MK  MEDIAS,SOQUETES,MEDIAS,6199MK,mkmedias
0701003430,6200MK MEDIAS SOQUETE,SOQUETES,MEDIAS,6200MK,mkmedias
0701003440,6200MKP PACK X2 3/4,SOQUETES,MEDIAS,6200MKP,mkmedias
0701003450,6201MK MEDIAS MK SOQ,SOQUETES,MEDIAS,6201MK,mkmedias
0701003460,6201MKP PACK X3 SOQ,SOQUETES,MEDIAS,6201MKP,mkmedias
0701003470,6203 MK MEDIAS MK,SOQUETES,MEDIAS,6203MK,mkmedias
0701003480,6206MK  MEDIAS MK,SOQUETES,MEDIAS,6206MK,mkmedias
0701003490,6207MK  MEDIAS MK,SOQUETES,MEDIAS,6207MK,mkmedias
0701003500,6207MKP  MEDIAS MK PACK X2,SOQUETES,MEDIAS,6207MKP,mkmedias
0701003510,6208MK  MEDIAS MK,SOQUETES,MEDIAS,6208MK,mkmedias
0701003520,6208MKP  MEDIAS MK PACK X2,SOQUETES,MEDIAS,6208MKP,mkmedias
0701003530,6209MK  MEDIAS MK,SOQUETES,MEDIAS,6209MK,mkmedias
0701003540,62103MK MEDIAS MK,SOQUETES,MEDIAS,62103MK,mkmedias
0701003550,62104MK MEDIAS MK,SOQUETES,MEDIAS,62104MK,mkmedias
0701003560,62105MK MEDIAS MK,SOQUETES,MEDIAS,62105MK,mkmedias
0701003570,62106MK MEDIAS MK,SOQUETES,MEDIAS,62106MK,mkmedias
0701003580,62107MK MEDIAS MK,SOQUETES,MEDIAS,62107MK,mkmedias
0701003590,62108MK MEDIAS MK,SOQUETES,MEDIAS,62108MK,mkmedias
0701003600,62109MK MEDIAS MK,SOQUETES,MEDIAS,62109MK,mkmedias
0701003610,6210MK  MEDIAS MK,SOQUETES,MEDIAS,6210MK,mkmedias
0701003620,62110MK MEDIAS MK,SOQUETES,MEDIAS,62110MK,mkmedias
0701003630,62111MK MEDIAS MK,SOQUETES,MEDIAS,62111MK,mkmedias
0701003640,62112MK MEDIAS MK,SOQUETES,MEDIAS,62112MK,mkmedias
0701003650,62113MK MEDIAS MK,SOQUETES,MEDIAS,62113MK,mkmedias
0701003660,62114MK MEDIAS MK,SOQUETES,MEDIAS,62114MK,mkmedias
0701003670,62115MK MEDIAS MK,SOQUETES,MEDIAS,62115MK,mkmedias
0701003680,62116MK MEDIAS MK,SOQUETES,MEDIAS,62116MK,mkmedias
0701003690,62117MK  MEDIAS,SOQUETES,MEDIAS,62117MK,mkmedias
0701003700,62118MK  MEDIAS,SOQUETES,MEDIAS,62118MK,mkmedias
0701003710,6211MK  MEDIAS MK,SOQUETES,MEDIAS,6211MK,mkmedias
0701003720,6211MKP  MEDIAS MK PACK X2,SOQUETES,MEDIAS,6211MKP,mkmedias
0701003730,62120MK MEDIAS MK,SOQUETES,MEDIAS,62120MK,mkmedias
0701003740,62121MK MEDIAS MK,SOQUETES,MEDIAS,62121MK,mkmedias
0701003750,62122MK MEDIAS MK,SOQUETES,MEDIAS,62122MK,mkmedias
0701003760,62123MK MEDIAS MK,SOQUETES,MEDIAS,62123MK,mkmedias
0701003770,62124MK MEDIAS MK,SOQUETES,MEDIAS,62124MK,mkmedias
0701003780,62125MK MEDIAS MK,SOQUETES,MEDIAS,62125MK,mkmedias
0701003790,62126MK MEDIAS MK,SOQUETES,MEDIAS,62126MK,mkmedias
0701003800,62127MK MEDIAS MK,SOQUETES,MEDIAS,62127MK,mkmedias
0701003810,62128MK  MEDIAS,SOQUETES,MEDIAS,62128MK,mkmedias
0701003820,62129MK  MEDIAS,SOQUETES,MEDIAS,62129MK,mkmedias
0701003830,62130MK  MEDIAS,SOQUETES,MEDIAS,62130MK,mkmedias
0701003840,62131MK MEDIAS MK,SOQUETES,MEDIAS,62131MK,mkmedias
0701003850,62132MK MEDIAS MK,SOQUETES,MEDIAS,62132MK,mkmedias
0701003860,62133MK MEDIAS MK,SOQUETES,MEDIAS,62133MK,mkmedias
0701003870,62134MK MEDIAS MK,SOQUETES,MEDIAS,62134MK,mkmedias
0701003880,62135MK MEDIAS MK,SOQUETES,MEDIAS,62135MK,mkmedias
0701003890,62136MK MEDIAS MK,SOQUETES,MEDIAS,62136MK,mkmedias
0701003900,62137MK MEDIAS MK,SOQUETES,MEDIAS,62137MK,mkmedias
0701003910,62138MK MEDIAS MK,SOQUETES,MEDIAS,62138MK,mkmedias
0701003920,62139MK MEDIAS MK,SOQUETES,MEDIAS,62139MK,mkmedias
0701003930,6213MK  MEDIAS MK,SOQUETES,MEDIAS,6213MK,mkmedias
0701003940,6213MKP  MEDIAS MK PACK X2,SOQUETES,MEDIAS,6213MKP,mkmedias
0701003950,62140MK MEDIAS MK,SOQUETES,MEDIAS,62140MK,mkmedias
0701003960,62141MK MEDIAS MK,SOQUETES,MEDIAS,62141MK,mkmedias
0701003970,62142MK MEDIAS MK,SOQUETES,MEDIAS,62142MK,mkmedias
0701003980,62145MK MEDIAS,SOQUETES,MEDIAS,62145MK,mkmedias
0701003990,62146MK MEDIAS,SOQUETES,MEDIAS,62146MK,mkmedias
0701004000,62147MK MEDIAS,SOQUETES,MEDIAS,62147MK,mkmedias
0701004010,6215MK  MEDIAS MK,SOQUETES,MEDIAS,6215MK,mkmedias
0701004020,6219MK  MEDIAS MK,SOQUETES,MEDIAS,6219MK,mkmedias
0701004030,6220MK  MEDIAS MK,SOQUETES,MEDIAS,6220MK,mkmedias
0701004040,6221MK  MEDIAS MK,SOQUETES,MEDIAS,6221MK,mkmedias
0701004050,6222MK  MEDIAS MK,SOQUETES,MEDIAS,6222MK,mkmedias
0701004060,6223MK  MEDIAS MK,SOQUETES,MEDIAS,6223MK,mkmedias
0701004070,6224MK  MEDIAS MK,SOQUETES,MEDIAS,6224MK,mkmedias
0701004080,6225MK  MEDIAS MK,SOQUETES,MEDIAS,6225MK,mkmedias
