Codigo,Descripcion,DescAdic,Familia,CodBarra,Marca
0101071070,5105LO T85 NEGRO,CONJUNTO,LENCERIA,L5105 85 N,LODY
0101071080,5105LO T85 PETROLEO,CONJUNTO,LENCERIA,L5105 85 PE,LODY
0101071090,5105LO T85 ROSA,CONJUNTO,LENCERIA,L5105 85 R,LODY
0101071100,5105LO T85 ROJO,CONJUNTO,LENCERIA,L5105 85 RJ,LODY
0101071110,5105LO T85 UVA,CONJUNTO,LENCERIA,L5105 85 U,LODY
0101071120,5105LO T85 VISON,CONJUNTO,LENCERIA,L5105 85 VN,LODY
0101071130,5105LO T90 BLANCO,CONJUNTO,LENCERIA,L5105 90 B,LODY
0101071140,5105LO T90 NEGRO,CONJUNTO,LENCERIA,L5105 90 N,LODY
0101071150,5105LO T90 PETROLEO,CONJUNTO,LENCERIA,L5105 90 PE,LODY
0101071160,5105LO T90 ROSA,CONJUNTO,LENCERIA,L5105 90 R,LODY
0101071170,5105LO T90 ROJO,CONJUNTO,LENCERIA,L5105 90 RJ,LODY
0101071180,5105LO T90 UVA,CONJUNTO,LENCERIA,L5105 90 U,LODY
0101071190,5105LO T90 VISON,CONJUNTO,LENCERIA,L5105 90 VN,LODY
0101071200,5105LO T95 BLANCO,CONJUNTO,LENCERIA,L5105 95 B,LODY
0101071210,5105LO T95 NEGRO,CONJUNTO,LENCERIA,L5105 95 N,LODY
0101071220,5105LO T95 PETROLEO,CONJUNTO,LENCERIA,L5105 95 PE,LODY
0101071230,5105LO T95 ROSA,CONJUNTO,LENCERIA,L5105 95 R,LODY
0101071240,5105LO T95 ROJO,CONJUNTO,LENCERIA,L5105 95 RJ,LODY
0101071250,5105LO T95 UVA,CONJUNTO,LENCERIA,L5105 95 U,LODY
0101071260,5105LO T95 VISON,CONJUNTO,LENCERIA,L5105 95 VN,LODY
0101071270,5105LO T105 BLANCO,CONJUNTO,LENCERIA,L5105L1 105 B,LODY
0101071280,5105LO T105 NEGRO,CONJUNTO,LENCERIA,L5105L1 105 N,LODY
0101071290,5105LO T105 PETROLEO,CONJUNTO,LENCERIA,L5105L1 105 PE,LODY
0101071300,5105LO T105 ROJO,CONJUNTO,LENCERIA,L5105L1 105 RJ,LODY
0101071310,5105LO T105 ROSA,CONJUNTO,LENCERIA,L5105L1 105 RS,LODY
0101071320,5105LO T105 UVA,CONJUNTO,LENCERIA,L5105L1 105 U,LODY
0101071330,5105LO T105 VISON,CONJUNTO,LENCERIA,L5105L1 105 VN,LODY
0101071340,5105LO T110 BLANCO,CONJUNTO,LENCERIA,L5105L1 110 B,LODY
0101071350,5105LO T110 NEGRO,CONJUNTO,LENCERIA,L5105L1 110 N,LODY
0101071360,5105LO T110 PETROLEO,CONJUNTO,LENCERIA,L5105L1 110 PE,LODY
0101071370,5105LO T110 ROJO,CONJUNTO,LENCERIA,L5105L1 110 RJ,LODY
0101071380,5105LO T110 ROSA,CONJUNTO,LENCERIA,L5105L1 110 RS,LODY
0101071390,5105LO T110 UVA,CONJUNTO,LENCERIA,L5105L1 110 U,LODY
0101071400,5105LO T110 VISON,CONJUNTO,LENCERIA,L5105L1 110 VN,LODY
0101071410,5109LO T85 BLANCO,CONJUNTO,LENCERIA,L5109 85 B,LODY
0101071420,5109LO T85 NEGRO,CONJUNTO,LENCERIA,L5109 85 N,LODY
0101071430,5109LO T85 ROJO,CONJUNTO,LENCERIA,L5109 85 R,LODY
0101071440,5109LO T90 BLANCO,CONJUNTO,LENCERIA,L5109 90 B,LODY
0101071450,5109LO T90 NEGRO,CONJUNTO,LENCERIA,L5109 90 N,LODY
0101071460,5109LO T90 ROJO,CONJUNTO,LENCERIA,L5109 90 R,LODY
0101071470,5109LO T95 BLANCO,CONJUNTO,LENCERIA,L5109 95 B,LODY
0101071480,5109LO T95 NEGRO,CONJUNTO,LENCERIA,L5109 95 N,LODY
0101071490,5109LO T95 ROJO,CONJUNTO,LENCERIA,L5109 95 R,LODY
0101071500,5110LO T85 BLANCO,CONJUNTO,LENCERIA,L5110 85 B,LODY
0101071510,5110LO T85 NEGRO,CONJUNTO,LENCERIA,L5110 85 N,LODY
