virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,,
2722,TIENTO-Art:205T,0101136940,,TIENTO-Art 205T-0101136940,T1,A-PRINT,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CONJUNTO TIENTO-Art:205T<br />CONJUNTO TAZA SOFT Y COLA LESS DE MICROFIBRA ESTAMPADA<br />
Talles: 1 - 2 - 3 - 4 <br />
Colores:ANIMAL PRINT"
,TIENTO-Art:205T,0101136950,0101136940,TIENTO-Art 205T-0101136950,T2,A-PRINT,,,1.0,Y,,
,TIENTO-Art:205T,0101136960,0101136940,TIENTO-Art 205T-0101136960,T3,A-PRINT,,,1.0,Y,,
,TIENTO-Art:205T,0101136970,0101136940,TIENTO-Art 205T-0101136970,T4,A-PRINT,,,1.0,Y,,
,TIENTO-Art:205T,0101148660,0101136940,TIENTO-Art 205T-0101148660,TIENTO,CONJ.,,,1.0,N,,
,TIENTO-Art:206T,0101136980,,TIENTO-Art 206T-0101136980,T1,CORAL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:206T<br />T1 - CORAL
,TIENTO-Art:206T,0101136990,0101136980,TIENTO-Art 206T-0101136990,T1,PETROLEO,,,1.0,Y,,
,TIENTO-Art:206T,0101137000,0101136980,TIENTO-Art 206T-0101137000,T2,CORAL,,,1.0,Y,,
,TIENTO-Art:206T,0101137010,0101136980,TIENTO-Art 206T-0101137010,T2,PETROLEO,,,1.0,Y,,
,TIENTO-Art:206T,0101137020,0101136980,TIENTO-Art 206T-0101137020,T3,CORAL,,,1.0,Y,,
,TIENTO-Art:206T,0101137030,0101136980,TIENTO-Art 206T-0101137030,T3,PETROLEO,,,1.0,Y,,
,TIENTO-Art:206T,0101137040,0101136980,TIENTO-Art 206T-0101137040,T4,CORAL,,,1.0,Y,,
,TIENTO-Art:206T,0101137050,0101136980,TIENTO-Art 206T-0101137050,T4,PETROLEO,,,1.0,Y,,
,TIENTO-Art:206T,0101148670,0101136980,TIENTO-Art 206T-0101148670,TIENTO,CONJ.,,,1.0,N,,
,TIENTO-Art:206T,0101137060,0101136980,TIENTO-Art 206T-0101137060,T5,CORAL,,,1.0,Y,,
,TIENTO-Art:206T,0101137070,0101136980,TIENTO-Art 206T-0101137070,T5,PETROLEO,,,1.0,Y,,
2726,TIENTO-Art:207T,0101137080,,TIENTO-Art 207T-0101137080,T1,NEGRO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CONJUNTO TIENTO-Art:207T<br />CONJUNTO TAZA SOFT Y COLA LESS DE MICROFIBRA RAYADA Y BRETELES ESTAMPADOS<br />
Talles: 1 - 2 - 3 - 4 <br />
Colores: NEGRO"
,TIENTO-Art:207T,0101137090,0101137080,TIENTO-Art 207T-0101137090,T2,NEGRO,,,1.0,Y,,
,TIENTO-Art:207T,0101137100,0101137080,TIENTO-Art 207T-0101137100,T3,NEGRO,,,1.0,Y,,
,TIENTO-Art:207T,0101137110,0101137080,TIENTO-Art 207T-0101137110,T4,NEGRO,,,1.0,Y,,
,TIENTO-Art:207T,0101148680,0101137080,TIENTO-Art 207T-0101148680,TIENTO,CONJ.,,,1.0,N,,
,TIENTO-Art:208T,0101137120,,TIENTO-Art 208T-0101137120,T1,CORAL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:208T<br />T1 - CORAL
,TIENTO-Art:208T,0101137130,0101137120,TIENTO-Art 208T-0101137130,T1,PETROLEO,,,1.0,Y,,
,TIENTO-Art:208T,0101137140,0101137120,TIENTO-Art 208T-0101137140,T2,CORAL,,,1.0,Y,,
,TIENTO-Art:208T,0101137150,0101137120,TIENTO-Art 208T-0101137150,T2,PETROLEO,,,1.0,Y,,
,TIENTO-Art:208T,0101137160,0101137120,TIENTO-Art 208T-0101137160,T3,CORAL,,,1.0,Y,,
,TIENTO-Art:208T,0101137170,0101137120,TIENTO-Art 208T-0101137170,T3,PETROLEO,,,1.0,Y,,
,TIENTO-Art:208T,0101137180,0101137120,TIENTO-Art 208T-0101137180,T4,CORAL,,,1.0,Y,,
,TIENTO-Art:208T,0101137190,0101137120,TIENTO-Art 208T-0101137190,T4,PETROLEO,,,1.0,Y,,
,TIENTO-Art:208T,0101148690,0101137120,TIENTO-Art 208T-0101148690,TIENTO,CONJ.,,,1.0,N,,
7097,TIENTO-Art:2102T,0101166800,,TIENTO-Art 2102T-0101166800,T95,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CONJUNTO TIENTO-Art:2102T<br />Conjunto soutien super arco y vedetina de algodón y lycra.<br /> 
Talles: 95 - 100 - 105 - 110<br />
Colores: BLANCO - NEGRO"
,TIENTO-Art:2102T,0101166680,0101166800,TIENTO-Art 2102T-0101166680,T95,NEGRO,,,1.0,Y,,
,TIENTO-Art:2102T,0101166770,0101166800,TIENTO-Art 2102T-0101166770,T100,BLANCO,,,1.0,Y,,
,TIENTO-Art:2102T,0101166650,0101166800,TIENTO-Art 2102T-0101166650,T100,NEGRO,,,1.0,Y,,
,TIENTO-Art:2102T,0101166780,0101166800,TIENTO-Art 2102T-0101166780,T105,BLANCO,,,1.0,Y,,
,TIENTO-Art:2102T,0101166660,0101166800,TIENTO-Art 2102T-0101166660,T105,NEGRO,,,1.0,Y,,
,TIENTO-Art:2102T,0101166720,0101166800,TIENTO-Art 2102T-0101166720,CONJUNTO,VARIOS,,,1.0,Y,,
,TIENTO-Art:2102T,0101166790,0101166800,TIENTO-Art 2102T-0101166790,T110,BLANCO,,,1.0,Y,,
,TIENTO-Art:2102T,0101166670,0101166800,TIENTO-Art 2102T-0101166670,T110,NEGRO,,,1.0,Y,,
2721,TIENTO-Art:2103T,0101148060,,TIENTO-Art 2103T-0101148060,T95,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CONJUNTO TIENTO-Art:2103T<br />CONJUNTO CORPIÑO SIN ARCO Y VEDETINA DE ALGODON LYCRA® PREMIUM Y PUNTILLA <br />
Talles: 95 - 100 - 105 - 110 <br /> 
Colores: BLANCO - NEGRO- HUESO"
,TIENTO-Art:2103T,0101148070,0101148060,TIENTO-Art 2103T-0101148070,T95,HUESO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148080,0101148060,TIENTO-Art 2103T-0101148080,T95,NEGRO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148090,0101148060,TIENTO-Art 2103T-0101148090,T100,BLANCO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148100,0101148060,TIENTO-Art 2103T-0101148100,T100,HUESO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148110,0101148060,TIENTO-Art 2103T-0101148110,T100,NEGRO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148120,0101148060,TIENTO-Art 2103T-0101148120,T105,BLANCO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148130,0101148060,TIENTO-Art 2103T-0101148130,T105,HUESO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148140,0101148060,TIENTO-Art 2103T-0101148140,T105,NEGRO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148150,0101148060,TIENTO-Art 2103T-0101148150,T110,BLANCO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148160,0101148060,TIENTO-Art 2103T-0101148160,T110,HUESO,,,1.0,Y,,
,TIENTO-Art:2103T,0101148170,0101148060,TIENTO-Art 2103T-0101148170,T110,NEGRO,,,1.0,Y,,
2719,TIENTO-Art:2106T,0101148180,,TIENTO-Art 2106T-0101148180,T95,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CONJUNTO TIENTO-Art:2106T<br />CONJUNTO TAZA DOBLE PREMOLDEADA Y COLA LESS DE ALGODON LYCRA® Y PUNTILLA<br />
Talles: 95 - 100 - 105 - 110 <br /> 
Colores: NOUGAT - BLANCO - NEGRO"
,TIENTO-Art:2106T,0101148190,0101148180,TIENTO-Art 2106T-0101148190,T95,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148200,0101148180,TIENTO-Art 2106T-0101148200,T95,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148210,0101148180,TIENTO-Art 2106T-0101148210,T95,NOUGAT,,,1.0,Y,,
,TIENTO-Art:2106T,0101148490,0101148180,TIENTO-Art 2106T-0101148490,T100,BLANCO,,,1.0,Y,,
,TIENTO-Art:2106T,0101166690,0101148180,TIENTO-Art 2106T-0101166690,T100,BLANCO,,,1.0,Y,,
,TIENTO-Art:2106T,0101166700,0101148180,TIENTO-Art 2106T-0101166700,T100,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148220,0101148180,TIENTO-Art 2106T-0101148220,T100,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148500,0101148180,TIENTO-Art 2106T-0101148500,T100,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148230,0101148180,TIENTO-Art 2106T-0101148230,T100,NOUGAT,,,1.0,Y,,
,TIENTO-Art:2106T,0101148240,0101148180,TIENTO-Art 2106T-0101148240,T105,BLANCO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148510,0101148180,TIENTO-Art 2106T-0101148510,T105,BLANCO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148250,0101148180,TIENTO-Art 2106T-0101148250,T105,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148520,0101148180,TIENTO-Art 2106T-0101148520,T105,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101166710,0101148180,TIENTO-Art 2106T-0101166710,T105,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148260,0101148180,TIENTO-Art 2106T-0101148260,T105,NOUGAT,,,1.0,Y,,
,TIENTO-Art:2106T,0101148270,0101148180,TIENTO-Art 2106T-0101148270,T110,BLANCO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148530,0101148180,TIENTO-Art 2106T-0101148530,T110,BLANCO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148280,0101148180,TIENTO-Art 2106T-0101148280,T110,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148540,0101148180,TIENTO-Art 2106T-0101148540,T110,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101167980,0101148180,TIENTO-Art 2106T-0101167980,T110,NEGRO,,,1.0,Y,,
,TIENTO-Art:2106T,0101148290,0101148180,TIENTO-Art 2106T-0101148290,T110,NOUGAT,,,1.0,Y,,
8454,TIENTO-Art:2107T,0101177530,,TIENTO-Art 2107T-0101177530,T95,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CONJUNTO TIENTO-Art:2107T<br />Conjunto soutien sin arco y vedetina de algodón lycra plumetí y puntilla<br />
Talles: 1 - 2 - 3 - 4<br />
Colores: Negro - Blanco"
,TIENTO-Art:2107T,0101177570,0101177530,TIENTO-Art 2107T-0101177570,T95,NEGRO,,,1.0,Y,,
,TIENTO-Art:2107T,0101177540,0101177530,TIENTO-Art 2107T-0101177540,T100,BLANCO,,,1.0,Y,,
,TIENTO-Art:2107T,0101199040,0101177530,TIENTO-Art 2107T-0101199040,T100,BLANCO,,,1.0,Y,,
,TIENTO-Art:2107T,0101177580,0101177530,TIENTO-Art 2107T-0101177580,T100,NEGRO,,,1.0,Y,,
,TIENTO-Art:2107T,0101177550,0101177530,TIENTO-Art 2107T-0101177550,T105,BLANCO,,,1.0,Y,,
