codigo,Descripcion,Desc_adicional,Familia,agrupacion,Cod_barras
0201030670,1322XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13224004
0201030680,1322XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13225001
0201030690,1323XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13231002
0201030700,1323XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13232009
0201030710,1323XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13233006
0201030720,1323XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13234003
0201030730,1323XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13235000
0201030740,1324XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13241001
0201030750,1324XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13241005
0201030760,1324XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13242002
0201030770,1324XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13242008
0201030780,1324XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13243005
0201030790,1324XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13243009
0201030800,1324XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13244002
0201030810,1324XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13244006
0201030820,1324XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13245003
0201030830,1324XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13245009
0201030840,1325XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13251000
0201030850,1325XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13252007
0201030860,1325XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13253004
0201030870,1325XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13254001
0201030880,1325XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13255008
0201030890,1326XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13261009
0201030900,1326XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13262006
0201030910,1326XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13263003
0201030920,1326XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13264000
0201030930,1326XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13265007
0201030940,1335XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13351007
0201030950,1335XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13354008
0201030960,1340XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13401009
0201030970,1340XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13402006
0201030980,1340XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13403003
0201030990,1340XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13404000
0201031000,1340XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13405007
0201031010,1341XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13411008
0201031020,1341XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13412005
0201031030,1341XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13413002
0201031040,1341XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13414009
0201031050,1341XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13415006
0201031060,1350XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13501006
0201031070,1350XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13502003
0201031080,1350XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13503000
0201031090,1350XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13504007
0201031100,1350XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13505004
0201031110,1352XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13521004
0201031120,1352XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13522001
0201031130,1352XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13523008
0201031140,1352XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13524005
0201031150,1352XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13525002
0201031160,1355XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13551001
0201031170,1355XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13552008
0201031180,1355XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13553005
0201031190,1355XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13554002
0201031200,1355XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13555009
0201031210,1360XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13604004
0201031220,1362XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13621001
0201031230,1362XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13622008
0201031240,1362XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13623005
0201031250,1362XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13624002
0201031260,1362XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13625009
0201031270,1372XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13721008
0201031280,1372XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13722005
0201031290,1372XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13723002
0201031300,1372XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13724009
0201031310,1372XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13725006
0201031320,1374XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13741006
0201031330,1374XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13742003
0201031340,1374XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13743000
0201031350,1374XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13744007
0201031360,1374XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13745004
0201031370,1386XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13861001
0201031380,1386XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13862008
0201031390,1386XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13863005
0201031400,1386XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13864002
0201031410,1386XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13865009
0201031420,1387XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13871000
0201031430,1387XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13872007
