Codart,Descripcion,Descadicional,Familia,Codbarras,Descagrupacion,marca
0401001050,SAS ARCOIRIS 180 JDX 1 VOLPI,AIA18JDXR1VOLPI,BLANQUERIA,7794170013122,SABANA,arcoiris
0401001060,SAS ARCOIRIS 180 JDX 1 MONSTER,AIJ18JDXR1MONSTE,BLANQUERIA,7794170013139,SABANA,arcoiris
0401001070,SA ARCOIRIS 180 MIXTO JDC MAGU,AMI18JDCR1MAGUI,BLANQUERIA,7794170013863,SABANA,arcoiris
0401001080,SA ARCOIRIS 180 MIXTO JDC MARC,AMI18JDCR1MARCO,BLANQUERIA,7794170013870,SABANA,arcoiris
0401001090,SA ARCOIRIS 180 MIXTO JDC RITA,AMI18JDCR1RITA,BLANQUERIA,7794170013887,SABANA,arcoiris
0401001100,SA ARCOIRIS 180 MIXTO JDC TONY,AMI18JDCR1TONY,BLANQUERIA,7794170013894,SABANA,arcoiris
0401001110,SA ARCOIRIS 180 MIXTO JDC VITO,AMI18JDCR1VITO,BLANQUERIA,7794170013900,SABANA,arcoiris
0401001120,SA ARCOIRIS 180 MIXTO JDK MAGU,AMI18JDKR1MAGUI,BLANQUERIA,7794170013917,SABANA,arcoiris
0401001130,SA ARCOIRIS 180 MIXTO JDK MARC,AMI18JDKR1MARCO,BLANQUERIA,7794170013924,SABANA,arcoiris
0401001140,SA ARCOIRIS 180 MIXTO JDK RITA,AMI18JDKR1RITA,BLANQUERIA,7794170013931,SABANA,arcoiris
0401001150,SA ARCOIRIS 180 MIXTO JDK TONY,AMI18JDKR1TONY,BLANQUERIA,7794170013948,SABANA,arcoiris
0401001160,SA ARCOIRIS 180 MIXTO JDK VITO,AMI18JDKR1VITO,BLANQUERIA,7794170013955,SABANA,arcoiris
0401001170,SA ARCOIRIS 180 MIXTO JDQ MAGU,AMI18JDQR1MAGUI,BLANQUERIA,7794170013962,SABANA,arcoiris
0401001180,SA ARCOIRIS 180 MIXTO JDQ MARC,AMI18JDQR1MARCO,BLANQUERIA,7794170013979,SABANA,arcoiris
0401001190,SA ARCOIRIS 180 MIXTO JDQ RITA,AMI18JDQR1RITA,BLANQUERIA,7794170013986,SABANA,arcoiris
0401001200,SA ARCOIRIS 180 MIXTO JDQ TONY,AMI18JDQR1TONY,BLANQUERIA,7794170013993,SABANA,arcoiris
0401001210,SA ARCOIRIS 180 MIXTO JDQ VITO,AMI18JDQR1VITO,BLANQUERIA,7794170014006,SABANA,arcoiris
0401001220,SAS ARCOIRIS 180 MIXTO JDX MAG,AMI18JDXR1MAGUI,BLANQUERIA,7794170014013,SABANA,arcoiris
0401001230,SAS ARCOIRIS 180 MIXTO JDX MAR,AMI18JDXR1MARCO,BLANQUERIA,7794170014020,SABANA,arcoiris
0401001240,SAS ARCOIRIS 180 MIXTO JDX RIT,AMI18JDXR1RITA,BLANQUERIA,7794170014037,SABANA,arcoiris
