Cod_art,Descripcion,Desc_adicional,Familia,Cod_barras,marca
0101029410,166C T100 GRIS,CONJUNTO,LENCERIA,223166006100,coramina
0101029420,166C T105 GRIS,CONJUNTO,LENCERIA,223166006105,coramina
0101029430,166C T110 GRIS,CONJUNTO,LENCERIA,223166006110,coramina
0101029440,167C T80 BLANCO,CONJUNTO,LENCERIA,223167001080,coramina
0101029450,167C T85 BLANCO,CONJUNTO,LENCERIA,223167001085,coramina
0101029460,167C T90 BLANCO,CONJUNTO,LENCERIA,223167001090,coramina
0101029470,167C T95 BLANCO,CONJUNTO,LENCERIA,223167001095,coramina
0101029480,167C T80 NEGRO,CONJUNTO,LENCERIA,223167002080,coramina
0101029490,167C T85 NEGRO,CONJUNTO,LENCERIA,223167002085,coramina
0101029500,167C T90 NEGRO,CONJUNTO,LENCERIA,223167002090,coramina
0101029510,167C T95 NEGRO,CONJUNTO,LENCERIA,223167002095,coramina
0101029520,167C T80 ROJO,CONJUNTO,LENCERIA,223167007080,coramina
0101029530,167C T85 ROJO,CONJUNTO,LENCERIA,223167007085,coramina
0101029540,167C T90 ROJO,CONJUNTO,LENCERIA,223167007090,coramina
0101029550,167C T95 ROJO,CONJUNTO,LENCERIA,223167007095,coramina
0101029560,167C T80 CORAL,CONJUNTO,LENCERIA,223167030080,coramina
0101029570,167C T85 CORAL,CONJUNTO,LENCERIA,223167030085,coramina
0101029580,167C T90 CORAL,CONJUNTO,LENCERIA,223167030090,coramina
0101029590,167C T95 CORAL,CONJUNTO,LENCERIA,223167030095,coramina
0101029600,168C T85 BLANCO,CONJUNTO,LENCERIA,223168001085,coramina
0101029610,168C T90 BLANCO,CONJUNTO,LENCERIA,223168001090,coramina
0101029620,168C T95 BLANCO,CONJUNTO,LENCERIA,223168001095,coramina
0101029630,168C T100 BLANCO,CONJUNTO,LENCERIA,223168001100,coramina
0101029640,168C T85 BCO/CTE,CONJUNTO,LENCERIA,223168050085,coramina
0101029650,168C T90 BCO/CTE,CONJUNTO,LENCERIA,223168050090,coramina
0101029660,168C T95 BCO/CTE,CONJUNTO,LENCERIA,223168050095,coramina
0101029670,168C T100 BCO/CTE,CONJUNTO,LENCERIA,223168050100,coramina
0101029680,168C T85 BCO/ROSA,CONJUNTO,LENCERIA,223168051085,coramina
0101029690,168C T90 BCO/ROSA,CONJUNTO,LENCERIA,223168051090,coramina
0101029700,168C T95 BCO/ROSA,CONJUNTO,LENCERIA,223168051095,coramina
0101029710,168C T100 BCO/ROSA,CONJUNTO,LENCERIA,223168051100,coramina
0101029720,168C T85 GRIS/N,CONJUNTO,LENCERIA,223168060085,coramina
0101029730,168C T90 GRIS/N,CONJUNTO,LENCERIA,223168060090,coramina
0101029740,168C T95 GRIS/N,CONJUNTO,LENCERIA,223168060095,coramina
0101029750,168C T100 GRIS/N,CONJUNTO,LENCERIA,223168060100,coramina
0101029760,168C T85 HSO/R,CONJUNTO,LENCERIA,223168100085,coramina
0101029770,168C T90 HSO/R,CONJUNTO,LENCERIA,223168100090,coramina
0101029780,168C T95 HSO/R,CONJUNTO,LENCERIA,223168100095,coramina
0101029790,168C T100 HSO/R,CONJUNTO,LENCERIA,223168100100,coramina
0101029800,168C T85 ANIMAL/B,CONJUNTO,LENCERIA,223168131085,coramina
0101029810,168C T90 ANIMAL/B,CONJUNTO,LENCERIA,223168131090,coramina
0101029820,168C T95 ANIMAL/B,CONJUNTO,LENCERIA,223168131095,coramina
0101029830,168C T100 ANIMAL/B,CONJUNTO,LENCERIA,223168131100,coramina
0101029840,168C T85 ANIMAL/G,CONJUNTO,LENCERIA,223168132085,coramina
0101029850,168C T90 ANIMAL/G,CONJUNTO,LENCERIA,223168132090,coramina
0101029860,168C T95 ANIMAL/G,CONJUNTO,LENCERIA,223168132095,coramina
0101029870,168C T100 ANIMAL/G,CONJUNTO,LENCERIA,223168132100,coramina
0101029880,169C T85 BLANCO,CONJUNTO,LENCERIA,223169001085,coramina
0101029890,169C T90 BLANCO,CONJUNTO,LENCERIA,223169001090,coramina
0101029900,169C T95 BLANCO,CONJUNTO,LENCERIA,223169001095,coramina
0101029910,169C T100 BLANCO,CONJUNTO,LENCERIA,223169001100,coramina
0101029920,169C T85 NEGRO,CONJUNTO,LENCERIA,223169002085,coramina
0101029930,169C T90 NEGRO,CONJUNTO,LENCERIA,223169002090,coramina
0101029940,169C T95 NEGRO,CONJUNTO,LENCERIA,223169002095,coramina
0101029950,169C T100 NEGRO,CONJUNTO,LENCERIA,223169002100,coramina
0101029960,169C T85 HUESO,CONJUNTO,LENCERIA,223169004085,coramina
0101029970,169C T90 HUESO,CONJUNTO,LENCERIA,223169004090,coramina
0101029980,169C T95 HUESO,CONJUNTO,LENCERIA,223169004095,coramina
0101029990,169C T100 HUESO,CONJUNTO,LENCERIA,223169004100,coramina
0101030000,169C T85 ROSA,CONJUNTO,LENCERIA,223169011085,coramina
0101030010,169C T90 ROSA,CONJUNTO,LENCERIA,223169011090,coramina
0101030020,169C T95 ROSA,CONJUNTO,LENCERIA,223169011095,coramina
0101030030,169C T100 ROSA,CONJUNTO,LENCERIA,223169011100,coramina
0101030040,170C T85 BLANCO,CONJUNTO,LENCERIA,223170001085,coramina
0101030050,170C T90 BLANCO,CONJUNTO,LENCERIA,223170001090,coramina
0101030060,170C T95 BLANCO,CONJUNTO,LENCERIA,223170001095,coramina
0101030070,170C T100 BLANCO,CONJUNTO,LENCERIA,223170001100,coramina
