CodArt,Descripcion,Desc_adicional,Familia,CodigoBarras,agrupacion,marca
0401007010,SABANA UNIQUE KING MALTA 1,SA180JDKR1MALT,BLANQUERIA,7794170024685,SABANA,santista
0401007020,SABANA UNIQUE KING RABAT 1,SA180JDKR1RABA,BLANQUERIA,7794170024692,SABANA,santista
0401007030,SABANA KAMACOLOR KING FANNY 1,KAMIXJDKR1FANN,BLANQUERIA,7794170023916,SABANA,santista
0401007040,SABANAS KAMACOLOR 2 1/2 BENTO,KAMIXJDCR1BENTO,BLANQUERIA,7794170028911,SABANA,santista
0401007050,SABANAS KAMACOLOR 2 1/2 GLORIA,KAMIXJDCR1GLORIA,BLANQUERIA,7794170028928,SABANA,santista
0401007060,SABANAS KAMACOLOR 2 1/2 IVANA,KAMIXJDCR1IVANA,BLANQUERIA,7794170028935,SABANA,santista
0401007070,SABANAS KAMACOLOR 2 1/2 MANUEL,KAMIXJDCR1MANUEL,BLANQUERIA,7794170028942,SABANA,santista
0401007080,SABANAS KAMAC  2 1/2 NICOLO,KAMIXJDCR1NICOLO,BLANQUERIA,7794170028959,SABANA,santista
0401007090,SABANAS KAMACOLOR1 1/2 IVANA,KAMIXJDSR1IVANA,BLANQUERIA,7794170029116,SABANA,santista
0401007100,SABANAS KAMACOLOR 1 1/2 NICOLO,KAMIXJDSR1NICOLO,BLANQUERIA,7794170029130,SABANA,santista
0401007110,SABANAS KAMACOLOR 1 1/2ROMEO,KAMIXJDSR1ROMEO,BLANQUERIA,7794170029147,SABANA,santista
0401007160,SABANA KAM 2 1/2 ROMEO,KAMIXJDCR1ROME,BLANQUERIA,7794170028966,SABANA,santista
0401007170,SABANA KAM 1 1/2 BENTO,KAMIXJDSR1BENT,BLANQUERIA,7794170029093,SABANA,santista
0401007180,SABANA KAM 1 1/2 GLORIA,KAMIXJDSR1GLOR,BLANQUERIA,7794170029109,SABANA,santista
0401007200,SABANA SUAVEMIX 2  1/2 PLAZA,FAMICJDCM1YAGO,BLANQUERIA,7892949640262,SABANA,santista
0401007210,SABANA SUAVEMIX 2 1/2 PLAZA,FAMICJDCM1RICK,BLANQUERIA,7892949640255,SABANA,santista
0401007220,SABANA INFANTIL 1 1/2 PLAZA,FANIPJDSRPIRATA,BLANQUERIA,7794170029697,SABANA,santista
0401007230,SABANA SUAVEMIX 1  1/2 PLAZA,FAMICJDSM1YAGO,BLANQUERIA,7892949640323,SABANA,santista
0401007240,SABANAS SUAVEMIX 1/2 PLAZA,FAMICJDSM1RICK,BLANQUERIA,7892949640316,SABANA,santista
0401007280,SABANA UNIQUE QUEEN AMPARO,SA180JDQR1AMPARO,BLANQUERIA,7794170028539,SABANA,santista
0401007290,SABANA UNIQUE QUEEN BLUSH,SA180JDQR1BLUSH,BLANQUERIA,7794170028546,SABANA,santista
0401007300,SABANA UNIQUE QUEEN LARS,SA180JDQR1LARS,BLANQUERIA,7794170028553,SABANA,santista
0401007310,SABANA UNIQUE QUEEN OLIVER,SA180JDQR1OLIVE,BLANQUERIA,7794170028560,SABANA,santista
0401007320,SABANA UNIQUE 1 1/2 PLAZA AMP,SA180JDSR1AMPARO,BLANQUERIA,7794170028584,SABANA,santista
0401007330,SABANA UNIQUE 1 1/2 PLAZA LARS,SA180JDSR1LARS,BLANQUERIA,7794170028607,SABANA,santista
0401007340,SABANA UNIQUE 1 1/2 PLAZA OLIV,SA180JDSR1OLIVE,BLANQUERIA,7794170028614,SABANA,santista
0401007350,SABANA UNIQUE 1 1/2 PLAZA LORE,SA180JDSR2LORENZ,BLANQUERIA,7794170028621,SABANA,santista
0401007380,SABANA 180 H 2 1/2,SA180JDCR1AMPARO,BLANQUERIA,7794170029390,SABANA,santista
0401007390,SABANA 180 H 2 1/2,SA180JDCR2LORENZ,BLANQUERIA,7794170029437,SABANA,santista
0401007400,SABANA 180 H 2 1/2,SA180JDCR1BLUSH,BLANQUERIA,7794170029406,SABANA,santista
0401007890,SABANA LISAS KAM 2 1/2 BLANCO,KAMXBJDC1BLANCO,BLANQUERIA,7892949846770,SABANA,santista
0401007900,SABANA LISAS KAM 1 1/2 BLANCO,KAMXBJDS1BLANCO,BLANQUERIA,7892949846794,SABANA,santista
0401008350,SABANA SANTISTA ROMEO 2 1/2,KAMXBJDC11ROMEO,BLANQUERIA,7892949843182,SABANA,santista
