Codart,Descripcion,Descadic,Familia,CodBarra,agrupacion,marca
0402011560,TOALLON PALETTE ACC BOSTON GRA,PAL50TBARBOS9127,BLANQUERIA,7794170022407,TOALLA,palette
0402011570,TOALLA ACC BOSTON GRAFITO,PAL50TRORBOS9127,BLANQUERIA,7794170022452,TOALLA,palette
0402011580,TOALLON PALETTE URBAN SANTI BL,PAL42JBAJSAN00,BLANQUERIA,7892949510190,TOALLA,palette
0402011590,TOALLA PALETTE URBAN SANTI BLA,PAL42JROJSAN00,BLANQUERIA,7892949511296,TOALLA,palette
0402011600,TOALLON PALETTE ACCENT MARFIL,PAL50JBAJKAM8289,BLANQUERIA,7892949510565,TOALLA,palette
0402011610,TOALLA PALETTE ACCENT ROSA 340,PAL50JROJKAM3409,BLANQUERIA,7892949510626,TOALLA,palette
0402011620,TOALLON PALLETTE ACCENT JEANS,PAL50JBAJKAM6272,BLANQUERIA,7892949510251,TOALLA,palette
0402011630,TOALLON PALLETTE ACCENT ROSA 3,PAL50JBAJKAM3409,BLANQUERIA,7892949510244,TOALLA,palette
0402011640,TOALLON PALETTE ACCENT PETROLE,PAL50JBAJKAM6509,BLANQUERIA,7892949510398,TOALLA,palette
0402011650,TOALLON PALETTE ACCENT CELESTE,PAL50JBAJKAM6292,BLANQUERIA,7892949510268,TOALLA,palette
0402011660,TOALLA PALETTE ACCENT JEANS 62,PAL50JROJKAM6272,BLANQUERIA,7892949510657,TOALLA,palette
0402011670,TOALLA PALETTE ACCENT MARFIL 8,PAL50JROJKAM8289,BLANQUERIA,7892949510688,TOALLA,palette
0402011680,TOALLA PALETTE ACCENT  CELESTE,PAL50JROJKAM6292,BLANQUERIA,7892949510664,TOALLA,palette
0402011690,TOALLA PALETTE ACCENT PETROLEO,PAL50JROJKAM6509,BLANQUERIA,7892949510671,TOALLA,palette
0402011890,TOALLON URBAN CHANT VIOL,PAL42TBARCHA5053,BLANQUERIA,7794170027860,TOALLA,palette
0402011900,TOALLON URBAN CHANT PETRO,PAL42TBARCHA6220,BLANQUERIA,7794170027877,TOALLA,palette
0402011910,TOALLON URBAN CHANT PETRO,PAL42TBARCHA6256,BLANQUERIA,7794170027884,TOALLA,palette
0402011920,TOALLON URBAN CHANT VERD,PAL42TBARCHA7601,BLANQUERIA,7794170027891,TOALLA,palette
0402011930,TOALLON URBAN CHANT LACR,PAL42TBARCHA8809,BLANQUERIA,7794170027907,TOALLA,palette
0402011940,TOALLON PALETTE URB GRID AM,PAL42TBARGRI1093,BLANQUERIA,7794170027914,TOALLA,palette
0402011950,TOALLON PALETTE URB GRID ROS,PAL42TBARGRI3440,BLANQUERIA,7794170027921,TOALLA,palette
0402011960,TOALLON PALETTE URB GRID ORQ,PAL42TBARGRI5552,BLANQUERIA,7794170027938,TOALLA,palette
0402011970,TOALLON PALETTE URB GRID AZUL,PAL42TBARGRI6662,BLANQUERIA,7794170027945,TOALLA,palette
0402011980,TOALLON PALETTE URB GRID MAN,PAL42TBARGRI7336,BLANQUERIA,7794170027952,TOALLA,palette
0402011990,TOALLA PALETTE URB CHANT VIOL,PAL42TRORCHA5053,BLANQUERIA,7794170027990,TOALLA,palette
0402012000,TOALLA PALETTE URB CHANT AER,PAL42TRORCHA6220,BLANQUERIA,7794170028003,TOALLA,palette
0402012010,TOALLA PALETTE URB CHANT PET,PAL42TRORCHA6256,BLANQUERIA,7794170028010,TOALLA,palette
0402012020,TOALLA PALETTE URB CHANT VER,PAL42TRORCHA7601,BLANQUERIA,7794170028027,TOALLA,palette
0402012030,TOALLA PALETTE URB CHANT ARC,PAL42TRORCHA8809,BLANQUERIA,7794170028034,TOALLA,palette
