Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0201031750,1600XY TL,BOXER,LINEA UNDERWARE HOMBRE,16003002,XY
0201031760,1600XY TXL,BOXER,LINEA UNDERWARE HOMBRE,16004009,XY
0201031770,1600XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,16005006,XY
0201031780,2150XY TS,BOXER,LINEA UNDERWARE HOMBRE,21501005,XY
0201031790,2150XY TM,BOXER,LINEA UNDERWARE HOMBRE,21502002,XY
0201031800,2150XY TL,BOXER,LINEA UNDERWARE HOMBRE,21503009,XY
0201031810,2150XY TXL,BOXER,LINEA UNDERWARE HOMBRE,21504006,XY
0201031820,2150XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,21505003,XY
0201031830,3680XY TS,BOXER,LINEA UNDERWARE HOMBRE,36801008,XY
0201031840,3680XY TM,BOXER,LINEA UNDERWARE HOMBRE,36802005,XY
0201031850,3680XY TL,BOXER,LINEA UNDERWARE HOMBRE,36803002,XY
0201031860,3680XY TXL,BOXER,LINEA UNDERWARE HOMBRE,36804009,XY
0201031870,3680XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,36805006,XY
0201031880,3690XY TS,BOXER,LINEA UNDERWARE HOMBRE,36901005,XY
0201031890,3690XY TM,BOXER,LINEA UNDERWARE HOMBRE,36902002,XY
0201031900,3690XY TL,BOXER,LINEA UNDERWARE HOMBRE,36903009,XY
0201031910,3690XY TXL,BOXER,LINEA UNDERWARE HOMBRE,36904006,XY
0201031920,3690XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,36905003,XY
0201031930,3900XY TS,BOXER,LINEA UNDERWARE HOMBRE,39001009,XY
0201031940,3900XY TM,BOXER,LINEA UNDERWARE HOMBRE,39002006,XY
0201031950,3900XY TL,BOXER,LINEA UNDERWARE HOMBRE,39003003,XY
0201031960,3900XY TXL,BOXER,LINEA UNDERWARE HOMBRE,39004000,XY
0201031970,3900XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,39005007,XY
0201031980,3901XY TS,BOXER,LINEA UNDERWARE HOMBRE,39011008,XY
0201031990,3901XY TM,BOXER,LINEA UNDERWARE HOMBRE,39012005,XY
0201032000,3901XY TL,BOXER,LINEA UNDERWARE HOMBRE,39013002,XY
0201032010,3901XY TXL,BOXER,LINEA UNDERWARE HOMBRE,39014009,XY
0201032020,3901XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,39015006,XY
0201032030,3902XY TS,BOXER,LINEA UNDERWARE HOMBRE,39021007,XY
0201032040,3902XY TM,BOXER,LINEA UNDERWARE HOMBRE,39022004,XY
0201032050,3902XY TL,BOXER,LINEA UNDERWARE HOMBRE,39023001,XY
0201032060,3902XY TXL,BOXER,LINEA UNDERWARE HOMBRE,39024008,XY
0201032070,3902XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,39025005,XY
0201032080,3903XY TS,BOXER,LINEA UNDERWARE HOMBRE,39031006,XY
0201032090,3903XY TM,BOXER,LINEA UNDERWARE HOMBRE,39032003,XY
0201032100,3903XY TL,BOXER,LINEA UNDERWARE HOMBRE,39033000,XY
0201032110,3903XY TXL,BOXER,LINEA UNDERWARE HOMBRE,39034007,XY
0201032120,3903XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,39035004,XY
0201032130,3904XY TS,BOXER,LINEA UNDERWARE HOMBRE,39041005,XY
0201032140,3904XY TM,BOXER,LINEA UNDERWARE HOMBRE,39042002,XY
0201032150,3904XY TL,BOXER,LINEA UNDERWARE HOMBRE,39043009,XY
0201032160,3904XY TXL,BOXER,LINEA UNDERWARE HOMBRE,39044006,XY
0201032170,3904XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,39045003,XY
0201032180,3905XY TS,BOXER,LINEA UNDERWARE HOMBRE,39051004,XY
0201032190,3905XY TM,BOXER,LINEA UNDERWARE HOMBRE,39052001,XY
0201032200,3905XY TL,BOXER,LINEA UNDERWARE HOMBRE,39053008,XY
0201032210,3905XY TXL,BOXER,LINEA UNDERWARE HOMBRE,39054004,XY
0201032220,3905XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,39055002,XY
0201032230,5001XY TS,BOXER,LINEA UNDERWARE HOMBRE,50011001,XY
0201032240,5001XY TM,BOXER,LINEA UNDERWARE HOMBRE,50012008,XY
0201032250,5001XY TL,BOXER,LINEA UNDERWARE HOMBRE,50013005,XY
0201032260,5001XY TXL,BOXER,LINEA UNDERWARE HOMBRE,50014002,XY
