cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0101154530,420F CONJUNTO,CONJUNTO,LENCERIA,420F,fairuz
0101154540,422F CONJUNTO,CONJUNTO,LENCERIA,422F,fairuz
0101154550,424F CONJ FAIRUZ,CONJUNTO,LENCERIA,424F,fairuz
0101154560,282 CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,282F,fairuz
0101154570,283 CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,283F,fairuz
0101200360,2052FE TE CONJ FAIRUZ,CONJUNTO,LENCERIA,2052FE,fairuz
0102005770,450F CORPIÑO AMAMANTAR FAIRUZ,CORPIÑO,LENCERIA,450F,fairuz
0102005780,455F CORPIÑO AMAMANTAR FAIRUZ,CORPIÑO,LENCERIA,455F,fairuz
0102008930,900M1 CORPIÑO,CORPIÑO,LENCERIA,900M1,fairuz
0102008940,950M1 CORPIÑO,CONJUNTO,LENCERIA,950M1,fairuz
0105012210,900M2 BOMBACHA,BOMBACHA,LENCERIA,900M2,fairuz
0105012220,950M2  BOMBACHA,BOMBACHA,LENCERIA,950M2,fairuz
0105026940,600F COLALESS,BOMBACHA,LENCERIA,600F,fairuz
0105026950,522F COLALESS,BOMBACHA,LENCERIA,522F,fairuz
0105026960,500F COLALESS,BOMBACHA,LENCERIA,500F,fairuz
0105026970,510F BOMBACHA NENA,BOMBACHA,LENCERIA,510F,fairuz
0105026980,511F BOMBACHA NENA,BOMBACHA,LENCERIA,511F,fairuz
0105026990,512F BOMBACHA NENA,BOMBACHA,LENCERIA,512F,fairuz
0105027000,516F CULOTTE,BOMBACHA,LENCERIA,516F,fairuz
0105027010,517F CULOTTE,BOMBACHA,LENCERIA,517F,fairuz
0105027020,521F COLALESS,BOMBACHA,LENCERIA,521F,fairuz
0105027030,523F COLALESS,BOMBACHA,LENCERIA,523F,fairuz
0105027040,524F COLALESS,BOMBACHA,LENCERIA,524F,fairuz
0105027050,525F COLALESS,BOMBACHA,LENCERIA,525F,fairuz
0105027060,526F COLALESS,BOMBACHA,LENCERIA,526F,fairuz
0105027070,528F COLALESS,BOMBACHA,LENCERIA,528F,fairuz
0105027080,529F COLALESS,BOMBACHA,LENCERIA,529F,fairuz
0105027090,530F COLALESS,BOMBACHA,LENCERIA,530F,fairuz
0105027100,533F COLALESS,BOMBACHA,LENCERIA,533F,fairuz
0105027110,534F COLALESS,BOMBACHA,LENCERIA,534F,fairuz
0105027120,535F COLALESS,BOMBACHA,LENCERIA,535F,fairuz
0105027130,550F VEDETINA,BOMBACHA,LENCERIA,550F,fairuz
0105027140,553F VEDETINA,BOMBACHA,LENCERIA,553F,fairuz
0105027150,555F VEDETINA,BOMBACHA,LENCERIA,555F,fairuz
0105027160,556F COLALESS,BOMBACHA,LENCERIA,556F,fairuz
0105027170,558F COLALESS,BOMBACHA,LENCERIA,558F,fairuz
0105027180,560F TIRO CORTO,BOMBACHA,LENCERIA,560F,fairuz
0105027190,563F TIRO CORTO,BOMBACHA,LENCERIA,563F,fairuz
0105027200,565F BOMB TIRO CORTO,BOMBACHA,LENCERIA,565F,fairuz
0105027210,566F TIRO CORTO,BOMBACHA,LENCERIA,566F,fairuz
0105027220,568F TIRO CORTO,BOMBACHA,LENCERIA,568F,fairuz
0105027230,570F UNIVERSAL,BOMBACHA,LENCERIA,570F,fairuz
0105027240,571F CONJ FAIRUZ,BOMBACHA,LENCERIA,571F,fairuz
0105027250,573F UNIVERSAL,BOMBACHA,LENCERIA,573F,fairuz
0105027260,578F UNIVERSAL,BOMBACHA,LENCERIA,578F,fairuz
