Cod_articulo,Descripcion,Desc_adicional,Codigo_de_Barras
0602037360,L9354 TM,PIJAMA,1918935482
0602037370,L9354 TS,PIJAMA,1918935481
0602037380,L9354 TXL,PIJAMA,1918935484
0602037390,L9356 TL AZUL,PIJAMA,191893561883
0602037400,L9356 TL GRIS,PIJAMA,191893561383
0602037410,L9356 TM AZUL,PIJAMA,191893561882
0602037420,L9356 TM GRIS,PIJAMA,191893561382
0602037430,L9356 TS AZUL,PIJAMA,191893561881
0602037440,L9356 TS GRIS,PIJAMA,191893561381
0602037450,L9356 TXL AZUL,PIJAMA,191893561884
0602037460,L9356 TXL GRIS,PIJAMA,191893561384
0602037470,L9357 TL,PIJAMA,1918935783
0602037480,L9357 TM,PIJAMA,1918935782
0602037490,L9357 TS,PIJAMA,1918935781
0602037500,L9357 TXL,PIJAMA,1918935784
0602037510,L9358 TL,PIJAMA,1918935883
0602037520,L9358 TM,PIJAMA,1918935882
0602037530,L9358 TS,PIJAMA,1918935881
0602037540,L9358 TXL,PIJAMA,1918935884
0602037550,L9359 TL CELESTE,PIJAMA,19189359283
0602037560,L9359 TL ROSA,PIJAMA,19189359183
0602037570,L9359 TM CELESTE,PIJAMA,19189359282
0602037580,L9359 TM ROSA,PIJAMA,19189359182
0602037590,L9359 TS CELESTE,PIJAMA,19189359281
0602037600,L9359 TS ROSA,PIJAMA,19189359181
0602037610,L9359 TXL CELESTE,PIJAMA,19189359284
0602037620,L9359 TXL ROSA,PIJAMA,19189359184
0602037630,L9360 TL,PIJAMA,1918936083
0602037640,L9360 TM,PIJAMA,1918936082
0602037650,L9360 TS,PIJAMA,1918936081
0602037660,L9360 TXL,PIJAMA,1918936084
0602037670,L9361 T5 AZUL,PIJAMA,191893611805
0602037680,L9361 T5 GRIS,PIJAMA,191893611305
0602037690,L9361 T6 AZUL,PIJAMA,191893611806
0602037700,L9361 T6 GRIS,PIJAMA,191893611306
0602037710,L9361 T7 AZUL,PIJAMA,191893611807
0602037720,L9361 T7 GRIS,PIJAMA,191893611307
0602037730,L9361 T8 AZUL,PIJAMA,191893611808
0602037740,L9361 T8 GRIS,PIJAMA,191893611308
0602037750,L9361 TL AZUL,PIJAMA,191893611883
0602037760,L9361 TL GRIS,PIJAMA,191893611383
0602037770,L9361 TM AZUL,PIJAMA,191893611882
0602037780,L9361 TM GRIS,PIJAMA,191893611382
0602037790,L9361 TS AZUL,PIJAMA,191893611881
0602037800,L9361 TS GRIS,PIJAMA,191893611381
0602037810,L9361 TXL AZUL,PIJAMA,191893611884
0602037820,L9361 TXL GRIS,PIJAMA,191893611384
0602037830,L9362 T5 GRIS,PIJAMA,191893621305
0602037840,L9362 T5 NUDE,PIJAMA,191893626405
0602037850,L9362 T6 GRIS,PIJAMA,191893621306
0602037860,L9362 T6 NUDE,PIJAMA,191893626406
0602037870,L9362 TL GRIS,PIJAMA,191893621383
0602037880,L9362 TL NUDE,PIJAMA,191893626483
0602037890,L9362 TM GRIS,PIJAMA,191893621382
0602037900,L9362 TM NUDE,PIJAMA,191893626482
0602037910,L9362 TS GRIS,PIJAMA,191893621381
0602037920,L9362 TS NUDE,PIJAMA,191893626481
0602037930,L9362 TXL GRIS,PIJAMA,191893621384
0602037940,L9362 TXL NUDE,PIJAMA,191893626484
0602037950,L9363 T5 GRIS,PIJAMA,191893631305
0602037960,L9363 T5 ROSA,PIJAMA,19189363105
0602037970,L9363 T6 GRIS,PIJAMA,191893631306
0602037980,L9363 T6 ROSA,PIJAMA,19189363106
0602037990,L9363 TL GRIS,PIJAMA,191893631383
0602038000,L9363 TL ROSA,PIJAMA,19189363183
0602038010,L9363 TM GRIS,PIJAMA,191893631382
0602038020,L9363 TM ROSA,PIJAMA,19189363182
0602038030,L9363 TS GRIS,PIJAMA,191893631381
0602038040,L9363 TS ROSA,PIJAMA,19189363181
0602038050,L9363 TXL GRIS,PIJAMA,191893631384
0602038060,L9363 TXL ROSA,PIJAMA,19189363184
0602038070,L9364 TL,PIJAMA,1918936483
0602038080,L9364 TM,PIJAMA,1918936482
0602038090,L9364 TS,PIJAMA,1918936481
0602038100,L9364 TXL,PIJAMA,1918936484
0602038110,L9365 T5 BLANCO,PIJAMA,191893652905
0602038120,L9365 T5 GRIS,PIJAMA,191893651305
0602038130,L9365 T6 BLANCO,PIJAMA,191893652906
0602038140,L9365 T6 GRIS,PIJAMA,191893651306
0602038150,L9365 TL BLANCO,PIJAMA,191893652983
0602038160,L9365 TL GRIS,PIJAMA,191893651383
0602038170,L9365 TM BLANCO,PIJAMA,191893652982
0602038180,L9365 TM GRIS,PIJAMA,191893651382
0602038190,L9365 TS BLANCO,PIJAMA,191893652981
0602038200,L9365 TS GRIS,PIJAMA,191893651381
0602038210,L9365 TXL BLANCO,PIJAMA,191893652984
0602038220,L9365 TXL GRIS,PIJAMA,191893651384
0602038230,L9370 TL AZUL,PIJAMA,191893701883
0602038240,L9370 TL ROJO,PIJAMA,19189370683
0602038250,L9370 TM AZUL,PIJAMA,191893701882
0602038260,L9370 TM ROJO,PIJAMA,19189370682
0602038270,L9370 TS AZUL,PIJAMA,191893701881
0602038280,L9370 TS ROJO,PIJAMA,19189370681
0602038290,L9370 TXL AZUL,PIJAMA,191893701884
0602038300,L9370 TXL ROJO,PIJAMA,19189370684
0602038310,L9371 TL,PIJAMA,1918937183
0602038320,L9371 TM,PIJAMA,1918937182
0602038330,L9371 TS,PIJAMA,1918937181
0602038340,L9371 TXL,PIJAMA,1918937184
0602038350,L9372 TL,PIJAMA,1918937283
0602038360,L9372 TM,PIJAMA,1918937282
0602038370,L9372 TS,PIJAMA,1918937281
0602038380,L9372 TXL,PIJAMA,1918937284
0602038390,L9373 T5 GRIS,PIJAMA,191893731305
0602038400,L9373 T5 TOSTADO,PIJAMA,191893737005
0602038410,L9373 T6 GRIS,PIJAMA,191893731306
0602038420,L9373 T6 TOSTADO,PIJAMA,191893737006
0602038430,L9373 T7 GRIS,PIJAMA,191893731307
0602038440,L9373 T7 TOSTADO,PIJAMA,191893737007
0602038450,L9373 T8 GRIS,PIJAMA,191893731308
0602038460,L9373 T8 TOSTADO,PIJAMA,191893737008
0602038470,L9373 TL GRIS,PIJAMA,191893731383
0602038480,L9373 TL TOSTADO,PIJAMA,191893737083
0602038490,L9373 TM GRIS,PIJAMA,191893731382
0602038500,L9373 TM TOSTADO,PIJAMA,191893737082
0602038510,L9373 TS GRIS,PIJAMA,191893731381
0602038520,L9373 TS TOSTADO,PIJAMA,191893737081
0602038530,L9373 TXL GRIS,PIJAMA,191893731384
0602038540,L9373 TXL TOSTADO,PIJAMA,191893737084
0602038550,L9374 TL,PIJAMA,1918937483
0602038560,L9374 TM,PIJAMA,1918937482
0602038570,L9374 TS,PIJAMA,1918937481
0602038580,L9374 TXL,PIJAMA,1918937484
0602038590,L9375 TL NEGRO,PIJAMA,191893751583
0602038600,L9375 TM NEGRO,PIJAMA,191893751582
0602038610,L9375 TS NEGRO,PIJAMA,191893751581
0602038620,L9375 TXL NEGRO,PIJAMA,191893751584
0602038630,L9376 T5 GRIS,PIJAMA,191893761305
0602038640,L9376 T5 NEGRO,PIJAMA,191893761505
0602038650,L9376 T6 GRIS,PIJAMA,191893761306
0602038660,L9376 T6 NEGRO,PIJAMA,191893761506
0602038670,L9376 TL GRIS,PIJAMA,191893761383
0602038680,L9376 TL NEGRO,PIJAMA,191893761583
0602038690,L9376 TM GRIS,PIJAMA,191893761382
0602038700,L9376 TM NEGRO,PIJAMA,191893761582
0602038710,L9376 TS GRIS,PIJAMA,191893761381
0602038720,L9376 TS NEGRO,PIJAMA,191893761581
0602038730,L9376 TXL GRIS,PIJAMA,191893761384
0602038740,L9376 TXL NEGRO,PIJAMA,191893761584
0602038750,L9377 TL,PIJAMA,1918937783
0602038760,L9377 TM,PIJAMA,1918937782
0602038770,L9377 TS,PIJAMA,1918937781
0602038780,L9377 TXL,PIJAMA,1918937784
0602038790,L9378 T5 AZUL,PIJAMA,191893781805
0602038800,L9378 T5 BORDO,PIJAMA,191893781605
0602038810,L9378 T6 AZUL,PIJAMA,191893781806
0602038820,L9378 T6 BORDO,PIJAMA,191893781606
0602038830,L9378 TL AZUL,PIJAMA,191893781883
0602038840,L9378 TL BORDO,PIJAMA,191893781683
0602038850,L9378 TM AZUL,PIJAMA,191893781882
0602038860,L9378 TM BORDO,PIJAMA,191893781682
0602038870,L9378 TS AZUL,PIJAMA,191893781881
0602038880,L9378 TS BORDO,PIJAMA,191893781681
0602038890,L9378 TXL AZUL,PIJAMA,191893781884
0602038900,L9378 TXL BORDO,PIJAMA,191893781684
0602038910,L9379 T5,PIJAMA,1918937905
0602038920,L9379 T6,PIJAMA,1918937906
0602038930,L9379 TL,PIJAMA,1918937983
0602038940,L9379 TM,PIJAMA,1918937982
0602038950,L9379 TS,PIJAMA,1918937981
0602038960,L9379 TXL,PIJAMA,1918937984
0602038970,L9380 T5,PIJAMA,1918938005
0602038980,L9380 T6,PIJAMA,1918938006
0602038990,L9380 TL,PIJAMA,1918938083
0602039000,L9380 TM,PIJAMA,1918938082
0602039010,L9380 TS,PIJAMA,1918938081
0602039020,L9380 TXL,PIJAMA,1918938084
0602039030,L9940 T10 GRIS,PIJAMA,191199401310
0602039040,L9940 T10 ROSA,PIJAMA,19119940110
0602039050,L9940 T12 GRIS,PIJAMA,191199401312
0602039060,L9940 T12 ROSA,PIJAMA,19119940112
0602039070,L9940 T14 GRIS,PIJAMA,191199401314
0602039080,L9940 T14 ROSA,PIJAMA,19119940114
0602039090,L9940 T16 GRIS,PIJAMA,191199401316
0602039100,L9940 T16 ROSA,PIJAMA,19119940116
0602039110,L9940 T4 GRIS,PIJAMA,191199401304
0602039120,L9940 T4 ROSA,PIJAMA,19119940104
0602039130,L9940 T6 GRIS,PIJAMA,191199401306
0602039140,L9940 T6 ROSA,PIJAMA,19119940106
0602039150,L9940 T8 GRIS,PIJAMA,191199401308
0602039160,L9940 T8 ROSA,PIJAMA,19119940108
0602039170,L9941 T10,PIJAMA,1911994110
0602039180,L9941 T12,PIJAMA,1911994112
0602039190,L9941 T14,PIJAMA,1911994114
0602039200,L9941 T16,PIJAMA,1911994116
0602039210,L9941 T4,PIJAMA,1911994104
0602039220,L9941 T6,PIJAMA,1911994106
0602039230,L9941 T8,PIJAMA,1911994108
0602039240,L9942 T10 GRIS,PIJAMA,191199421310
0602039250,L9942 T10 ROSA,PIJAMA,19119942110
0602039260,L9942 T12 GRIS,PIJAMA,191199421312
0602039270,L9942 T12 ROSA,PIJAMA,19119942112
0602039280,L9942 T14 GRIS,PIJAMA,191199421314
0602039290,L9942 T14 ROSA,PIJAMA,19119942114
0602039300,L9942 T16 GRIS,PIJAMA,191199421316
0602039310,L9942 T16 ROSA,PIJAMA,19119942116
0602039320,L9942 T4 GRIS,PIJAMA,191199421304
0602039330,L9942 T4 ROSA,PIJAMA,19119942104
0602039340,L9942 T6 GRIS,PIJAMA,191199421306
0602039350,L9942 T6 ROSA,PIJAMA,19119942106
0602039360,L9942 T8 GRIS,PIJAMA,191199421308
0602039370,L9942 T8 ROSA,PIJAMA,19119942108
0602039380,L9943 T10 ROSA,PIJAMA,19119943110
0602039390,L9943 T10 VIOLETA,PIJAMA,191199432710
0602039400,L9943 T12 ROSA,PIJAMA,19119943112
0602039410,L9943 T12 VIOLETA,PIJAMA,191199432712
0602039420,L9943 T14 ROSA,PIJAMA,19119943114
0602039430,L9943 T14 VIOLETA,PIJAMA,191199432714
0602039440,L9943 T16 ROSA,PIJAMA,19119943116
0602039450,L9943 T16 VIOLETA,PIJAMA,191199432716
0602039460,L9943 T4 ROSA,PIJAMA,19119943104
0602039470,L9943 T4 VIOLETA,PIJAMA,191199432704
0602039480,L9943 T6 ROSA,PIJAMA,19119943106
0602039490,L9943 T6 VIOLETA,PIJAMA,191199432706
0602039500,L9943 T8 ROSA,PIJAMA,19119943108
0602039510,L9943 T8 VIOLETA,PIJAMA,191199432708
0602039520,L9944 T10,PIJAMA,1911994410
0602039530,L9944 T12,PIJAMA,1911994412
0602039540,L9944 T14,PIJAMA,1911994414
0602039550,L9944 T16,PIJAMA,1911994416
0602039560,L9944 T4,PIJAMA,1911994404
0602039570,L9944 T6,PIJAMA,1911994406
0602039580,L9944 T8,PIJAMA,1911994408
0602039590,L9945 T10 GRIS,PIJAMA,191199451310
0602039600,L9945 T10 ROSA,PIJAMA,19119945110
0602039610,L9945 T12 GRIS,PIJAMA,191199451312
0602039620,L9945 T12 ROSA,PIJAMA,19119945112
0602039630,L9945 T14 GRIS,PIJAMA,191199451314
0602039640,L9945 T14 ROSA,PIJAMA,19119945114
0602039650,L9945 T16 GRIS,PIJAMA,191199451316
0602039660,L9945 T16 ROSA,PIJAMA,19119945116
0602039670,L9945 T4 GRIS,PIJAMA,191199451304
0602039680,L9945 T4 ROSA,PIJAMA,19119945104
0602039690,L9945 T6 GRIS,PIJAMA,191199451306
0602039700,L9945 T6 ROSA,PIJAMA,19119945106
0602039710,L9945 T8 GRIS,PIJAMA,191199451308
0602039720,L9945 T8 ROSA,PIJAMA,19119945108
0602039730,L9960 T10 AZUL,PIJAMA,1911996001810
0602039740,L9960 T10 VERDE,PIJAMA,1911996002410
0602039750,L9960 T12 AZUL,PIJAMA,1911996001812
0602039760,L9960 T12 VERDE,PIJAMA,1911996002412
0602039770,L9960 T14 AZUL,PIJAMA,1911996001814
0602039780,L9960 T14 VERDE,PIJAMA,1911996002414
0602039790,L9960 T16 AZUL,PIJAMA,1911996001816
0602039800,L9960 T16 VERDE,PIJAMA,1911996002416
0602039810,L9960 T4 AZUL,PIJAMA,1911996001804
0602039820,L9960 T4 VERDE,PIJAMA,1911996002404
0602039830,L9960 T6 AZUL,PIJAMA,1911996001806
0602039840,L9960 T6 VERDE,PIJAMA,1911996002406
0602039850,L9960 T8 AZUL,PIJAMA,1911996001808
0602039860,L9960 T8 VERDE,PIJAMA,1911996002408
0602039870,L9961 T10 AZUL,PIJAMA,1911996101810
0602039880,L9961 T10 NEGRO,PIJAMA,1911996101510
0602039890,L9961 T12 AZUL,PIJAMA,1911996101812
0602039900,L9961 T12 NEGRO,PIJAMA,1911996101512
0602039910,L9961 T14 AZUL,PIJAMA,1911996101814
0602039920,L9961 T14 NEGRO,PIJAMA,1911996101514
0602039930,L9961 T16 AZUL,PIJAMA,1911996101816
0602039940,L9961 T16 NEGRO,PIJAMA,1911996101516
0602039950,L9961 T4 AZUL,PIJAMA,1911996101804
0602039960,L9961 T4 NEGRO,PIJAMA,1911996101504
0602039970,L9961 T6 AZUL,PIJAMA,1911996101806
0602039980,L9961 T6 NEGRO,PIJAMA,1911996101506
0602039990,L9961 T8 AZUL,PIJAMA,1911996101808
0602040000,L9961 T8 NEGRO,PIJAMA,1911996101508
0602040010,L9962 T10,PIJAMA,19119962010
0602040020,L9962 T12,PIJAMA,19119962012
0602040030,L9962 T14,PIJAMA,19119962014
