Cod_articulo,Descripcion,Desc_adicional,Familia,Codbarra,marca
0101198150,5562MK T100 CELESTE EDEN,CONJUNTO,LENCERIA,556205403,zailu
0101198160,5563MK T85 ROSA CUA,CONJUNTO,LENCERIA,556302334,zailu
0101198170,5563MK T90 ROSA CUA,CONJUNTO,LENCERIA,556303334,zailu
0101198180,5563MK T95 ROSA CUA,CONJUNTO,LENCERIA,556304334,zailu
0101198190,5563MK T85 CELESTE EDEN,CONJUNTO,LENCERIA,556302403,zailu
0101198200,5563MK T90 CELESTE EDEN,CONJUNTO,LENCERIA,556303403,zailu
0101198210,5563MKT T95 CELESTE EDEN,CONJUNTO,LENCERIA,556304403,zailu
0101198220,5565MK TS BLANCO,CONJUNTO,LENCERIA,55650101,zailu
0101198230,5565MK TM BLANCO,CONJUNTO,LENCERIA,55650201,zailu
0101198240,5565MK TL BLANCO,CONJUNTO,LENCERIA,55650301,zailu
0101198250,5565MK TS NEGRO,CONJUNTO,LENCERIA,55650103,zailu
0101198260,5565MK TM NEGRO,CONJUNTO,LENCERIA,55650203,zailu
0101198270,5565MK TL NEGRO,CONJUNTO,LENCERIA,55650303,zailu
0101198280,5565MK TS FRAMBUESA,CONJUNTO,LENCERIA,556501143,zailu
0101198290,5565MK TM FRAMBUESA,CONJUNTO,LENCERIA,556502143,zailu
0101198300,5565MK TL FRAMBUESA,CONJUNTO,LENCERIA,556503143,zailu
0109002340,5564MK TS BLANCO,BODY,LENCERIA,55640101,zailu
0109002350,5564MK TM BLANCO,BODY,LENCERIA,55640201,zailu
0109002360,5564MK TL BLANCO,BODY,LENCERIA,55640301,zailu
0109002370,5564MK TS NEGRO,BODY,LENCERIA,55640103,zailu
0109002380,5564MK TM NEGRO,BODY,LENCERIA,55640203,zailu
0109002390,5564MK TL NEGRO,BODY,LENCERIA,55640303,zailu
0109002400,5564MK TS FRAMBUESA,BODY,LENCERIA,556401143,zailu
0109002410,5564MK TM FRAMBUESA,BODY,LENCERIA,556402143,zailu
0109002420,5564MK TL FRAMBUESA,BODY,LENCERIA,556403143,zailu
