Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_Barras
0201001900,5017BR TM MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5017MED067
0201001910,5017BR TM  BORDO,BOXER,LINEA UNDERWARE HOMBRE,5017MED090
0201001920,5017BR TM ARMY,BOXER,LINEA UNDERWARE HOMBRE,5017MED094
0201001930,5017BR TM ORANGE,BOXER,LINEA UNDERWARE HOMBRE,5017MED105
0201001940,5017BR TS FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5017SMA051
0201001950,5017BR TS MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5017SMA067
0201001960,5017BR TS  BORDO,BOXER,LINEA UNDERWARE HOMBRE,5017SMA090
0201001970,5017BR TS ARMY,BOXER,LINEA UNDERWARE HOMBRE,5017SMA094
0201001980,5017BR TS ORANGE,BOXER,LINEA UNDERWARE HOMBRE,5017SMA105
0201001990,5017BR TXXL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5017XXL051
0201002000,5017BR TXXL MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5017XXL067
0201002010,5017BR TXXL ARMY,BOXER,LINEA UNDERWARE HOMBRE,5017XXL094
0201002020,5017BR TXXL ORANGE,BOXER,LINEA UNDERWARE HOMBRE,5017XXL105
0201002030,5018BR TXL ROJO,BOXER,LINEA UNDERWARE HOMBRE,5018EXL004
0201002040,5018BR TXL ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,5018EXL014
0201002050,5018BR TXL LIMA,BOXER,LINEA UNDERWARE HOMBRE,5018EXL068
0201002060,5018BR TXL OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5018EXL095
0201002070,5018BR TL ROJO,BOXER,LINEA UNDERWARE HOMBRE,5018LAR00412
0201002080,5018BR TL ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,5018LAR014
0201002090,5018BR TL LIMA,BOXER,LINEA UNDERWARE HOMBRE,5018LAR068
0201002100,5018BR TL OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5018LAR095
0201002110,5018BR TM ROJO,BOXER,LINEA UNDERWARE HOMBRE,5018MED004
0201002120,5018BR TM ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,5018MED014
0201002130,5018BR TM LIMA,BOXER,LINEA UNDERWARE HOMBRE,5018MED068
